participant,Snippet,BA31,BA32
p16,ArrayAverage,-1.7443268967033623,-2.2699543697987807
p02,ArrayAverage,-2.0618265972995724,-2.411199055310677
p04,ArrayAverage,-2.2829710225286846,-2.2358073181741256
p07,ArrayAverage,-1.633781757760878,-0.8974428152538116
p18,ArrayAverage,-2.165418507194532,-1.3475842333932284
p19,ArrayAverage,-2.3701576048341666,-2.4182975572888346
p15,ArrayAverage,-2.418848405727125,-2.50189936515924
p01,ArrayAverage,-3.326985306766214,-2.509411987001006
p17,ArrayAverage,-3.1115754049566884,-0.39597708007885973
p05,ArrayAverage,-3.7783013271417087,-2.4432184837771547
p13,ArrayAverage,-1.7782853814149284,-1.5181081921582482
p14,ArrayAverage,-2.19542213650263,-2.1091615603182294
p11,ArrayAverage,-1.9704537166709697,-1.5072383600442374
p08,ArrayAverage,-2.110978887339418,-1.645041847663391
p03,ArrayAverage,-1.6774194444438604,-1.400042442160704
p09,ArrayAverage,-1.8043194244505794,-1.2612490975583077
p06,ArrayAverage,-1.4233299925284852,-1.3665807214889156
p10,ArrayAverage,-2.616001375191109,-1.704336475399078
p16,ContainsSubstring,-2.1849045236167224,-1.9798554481687742
p02,ContainsSubstring,-1.9546970533808246,-1.9456462189585624
p04,ContainsSubstring,-2.854966861619568,-2.980079935007759
p07,ContainsSubstring,-2.176882222977286,-1.2778865947042977
p18,ContainsSubstring,-1.3305761456074177,-0.2943464551541035
p19,ContainsSubstring,-2.650920381106494,-2.160097265830838
p15,ContainsSubstring,-2.5106652015321993,-3.7570559160154957
p01,ContainsSubstring,-2.9154622275295483,-2.738497373145949
p17,ContainsSubstring,-2.129591165957966,-1.1140497063470751
p05,ContainsSubstring,-1.5721651866892166,-0.8884928186928974
p13,ContainsSubstring,-2.22169232507655,-1.7149433571902462
p14,ContainsSubstring,-1.8427505285101544,-2.0088890649704316
p11,ContainsSubstring,-1.813931972559717,-2.152537008416956
p08,ContainsSubstring,-2.155709568689611,-1.866968919126574
p03,ContainsSubstring,-1.5595861546675578,-1.7584026719685861
p09,ContainsSubstring,-1.6717221166841698,-2.019506757549215
p06,ContainsSubstring,-1.399301863725725,-0.7232199004164429
p10,ContainsSubstring,-3.523087438274112,-3.1001593489943726
p16,CountVowels,-2.4342720879113946,-1.7977888174608858
p02,CountVowels,-3.41114149759109,-2.5539843385289878
p04,CountVowels,-2.8914089544103954,-2.07291618413906
p07,CountVowels,-1.3233866992051606,-0.9075524847576321
p18,CountVowels,-1.2637666461893617,-0.08172456847447826
p19,CountVowels,-1.2659090198149612,-1.3958990462575251
p15,CountVowels,-1.3613311031642708,-1.8605947303809431
p01,CountVowels,-3.0706201343278163,-1.778601023728645
p17,CountVowels,-2.831385323436442,-0.6755297941259637
p05,CountVowels,-2.166752366833684,-2.0444445542826455
p13,CountVowels,-1.5431520124992864,-1.469967004883755
p14,CountVowels,-1.6175489322329724,-2.409495692136839
p11,CountVowels,-2.014871988422401,-1.5073202676777258
p08,CountVowels,-1.5167923511854209,-2.072387007831436
p03,CountVowels,-1.0740451328329073,-0.9654804424181194
p09,CountVowels,-1.5375412578872565,-0.6063704720326376
p06,CountVowels,-1.150432517451201,-0.3220340875865044
p10,CountVowels,-2.1091058403547,-2.4028934330392984
p16,DumbSort,-0.911523556011054,-1.405745121826138
p02,DumbSort,-2.379427163908724,-1.611353044240025
p04,DumbSort,-1.9758364736312084,-2.5001600003844455
p07,DumbSort,-1.0995496921903207,-0.5109024259623719
