participant,snippet,subj_complexity
p13,RecursiveBinaryToDecimal,100.0
p14,CountVowels,0.0
p14,SquareRoot,0.0
p14,LengthOfLastWord,0.0
p14,DumbSort,0.0
p14,isHurricane,0.0
p14,ArrayAverage,0.0
p14,YesNo,0.0
p14,GreatestCommonDivisor,50.0
p14,isPalindrome,50.0
p14,hIndex,50.0
p14,RecursiveCrossSum,50.0
p14,RecursivePower,50.0
p14,ContainsSubstring,100.0
p14,RecursiveBinaryToDecimal,100.0
p14,RecursiveFibonacciVariant,100.0
p14,RecursiveFactorial,100.0
p15,isHurricane,0.0
p15,ArrayAverage,0.0
p15,YesNo,0.0
p15,RecursiveCrossSum,0.0
p15,RecursivePower,0.0
p15,RecursiveBinaryToDecimal,0.0
p15,RecursiveFibonacciVariant,0.0
p15,RecursiveFactorial,0.0
p15,GreatestCommonDivisor,33.0
p15,CountVowels,67.0
p15,hIndex,67.0
p15,ContainsSubstring,67.0
p15,SquareRoot,100.0
p15,isPalindrome,100.0
p16,isHurricane,0.0
p16,ArrayAverage,0.0
p16,YesNo,0.0
p16,RecursiveBinaryToDecimal,0.0
p16,RecursiveFactorial,0.0
p16,GreatestCommonDivisor,0.0
p16,DumbSort,0.0
p16,hIndex,0.0
p16,isPalindrome,0.0
p16,LengthOfLastWord,0.0
p16,RecursiveCrossSum,50.0
p16,RecursiveFibonacciVariant,50.0
p16,ContainsSubstring,50.0
p16,SquareRoot,50.0
p16,RecursivePower,100.0
p16,CountVowels,100.0
p17,YesNo,0.0
p17,isHurricane,0.0
p17,RecursiveFactorial,0.0
p17,isPalindrome,0.0
p17,RecursiveCrossSum,0.0
p17,RecursivePower,0.0
p17,ArrayAverage,50.0
p17,RecursiveBinaryToDecimal,50.0
p17,GreatestCommonDivisor,50.0
p17,DumbSort,50.0
p17,RecursiveFibonacciVariant,50.0
p17,SquareRoot,50.0
p17,CountVowels,50.0
p17,hIndex,100.0
p17,LengthOfLastWord,100.0
p17,ContainsSubstring,100.0
p18,isHurricane,0.0
p18,RecursiveFibonacciVariant,0.0
p18,YesNo,0.0
p18,RecursivePower,0.0
p18,RecursiveFactorial,0.0
p18,DumbSort,0.0
p18,isPalindrome,33.0
p18,CountVowels,33.0
p18,hIndex,67.0
p18,SquareRoot,67.0
p18,RecursiveCrossSum,67.0
p18,GreatestCommonDivisor,67.0
p18,ArrayAverage,100.0
p18,RecursiveBinaryToDecimal,100.0
p18,LengthOfLastWord,100.0
p18,ContainsSubstring,100.0
p19,isHurricane,0.0
p19,YesNo,0.0
p19,DumbSort,0.0
p19,isPalindrome,0.0
p19,CountVowels,0.0
p19,SquareRoot,0.0
p19,RecursiveCrossSum,0.0
p19,LengthOfLastWord,0.0
p19,ContainsSubstring,50.0
p19,RecursiveBinaryToDecimal,50.0
p19,ArrayAverage,50.0
p19,GreatestCommonDivisor,50.0
p19,RecursiveFactorial,50.0
p19,RecursiveBinaryToDecimal,100.0
p19,RecursivePower,100.0
p19,hIndex,100.0
